Dénomination;Abréviation;Nace;N° TVA ou Numéro national
ABN AMRO Bank NV;;64190;819.210.332;
Aion Bank;;64190;403.199.306;
Argenta Spaarbank;ASPA;64190;404.453.574;
Arkéa Direct Bank;;64190;879.257.191;
Attijariwafa Bank Europe S.A.;;64190;884.276.150;
Banco Bilbao Vizcaya Argentaria;;64190;445.048.470;
Bank J. Van Breda en C°;;64190;404.055.577;
Bank Nagelmackers;;64190;404.140.107;
Bank of America Europe Designated Activity Company;;64190;649.796.367;
Bank of China (Europe) S.A. Brussels Branch;;64190;827.624.586;
Bank of India;;64190;889.389.238;
Banque Chaabi du Maroc;;64190;423.454.191;
Banque CPH;CPH;64190;402.487.939;
Banque de Luxembourg SA;;64190;830.227.057;
Banque Degroof Petercam;;64190;403.212.172;
Banque Eni S.A.;;64190;879.995.183;
Banque Transatlantique Belgium S.A.;BTB;64190;872.743.345;
Barclays Bank Ireland public limited company;;64190;727.958.472;
Belfius Bank;;64190;403.201.185;
Beobank NV;;64190;401.517.147;
BNP Paribas Fortis;;64190;403.199.702;
BNP Paribas SA Belgium branch;;64190;403.201.482;
Byblos Bank Europe;;64190;415.718.640;
CACEIS Bank;;64190;539.791.736;
Caisse d'Epargne et de Prévoyance Hauts de France;;64190;674.826.723;
CBC Banque;;64190;403.211.380;
BankB;;64190;400.040.965;
CIC, succursale de Bruxelles;;64190;546.596.384;
Citibank Europe PLC;;64190;643.865.313;
CNH Industrial Capital Europe;;64190;821.165.475;
Compagnie de Banque Privée Quilvest;;64190;563.635.128;
Coöperatieve Rabobank U.A.;;64190;426.220.671;
Crédit Agricole Leasing & Factoring;;64190;789.250.693;
Crédit Agricole Corporate and Investment Bank;;64190;457.370.044;
Crédit Foncier de France;;64190;876.825.560;
Crédit Foncier et Communal d'Alsace et de Lorraine - Banque;;64190;685.497.713;
Crelan;;64190;205.764.318;
Delen Private Bank;;64190;453.076.211;
Deutsche Bank Aktiengesellschaft;;64190;418.371.094;
Edmond de Rothschild Europe;;64190;479.608.085;
Euroclear Bank;;64190;429.875.591;
Europabank;;64190;400.028.394;
CA Auto Bank S.p.A. Belgian Branch;;64190;699.630.712;
Hoist Finance AB;;64190;670.848.040;
HSBC Continental Europe;;64190;708.865.310;
IC Financial services SA;;64190;882.414.641;
Industrial and Commercial Bank of China (Europe) S.A. Brussels Branch;;64190;830.597.835;
ING Bank NV;;64190;828.223.909;
ING Belgique SA;;64190;403.200.393;
J.P. Morgan S.E. Brussels Branch;;64190;715.622.844;
KBC Bank N.V.;;64190;462.920.226;
Lombard Odier Europe;;64190;500.864.745;
MeDirect Bank;;64190;553.851.093;
MUFG Bank (Europe) Brussels Branch;;64190;648.982.458;
NIBC Bank N.V.;;64190;456.775.869;
Quintet Private Bank (Europe) SA;;64190;755.503.702;
Revolut Bank UAB Belgian branch;;64190;784.549.658;
Rothschild Martin Maurel;;64190;877.996.092;
Santander Consumer Finance SA;;64190;763.791.559;
Saxo Bank;;64190;1003.939.706;
Société Générale;;64190;455.297.412;
State Bank of India;;64190;424.025.008;
Sumitomo Mitsui Banking Corporation;;64190;413.172.884;
The Bank of New York Mellon S.A.;;64190;806.743.159;
Triodosbank;;64190;450.507.887;
United Taiwan Bank;;64190;448.490.386;
Van de Put & C° Privaatbankiers;;64190;404.501.381;
Van Lanschot Kempen N.V.;;64190;873.296.641;
Vdk Bank NV;;64190;400.067.788;
